tail_num,dep_delay,taxi_out,arr_delay,taxi_in
N941FR,14.088261515601783,16.320653789004457,8.394650817236256,10.243684992570579
N941LT,10.635610246107484,18.364138623807133,9.582119537920644,9.137870416875941
N941NN,11.466523605150215,18.37296137339056,6.835622317596567,10.298712446351932
N941SW,15.563589597027722,20.97827950843098,13.112889396970562,8.05544441268934
N941WN,9.083566760037348,11.95985060690943,2.0324463118580764,5.167600373482727
N942AN,10.45679012345679,18.6011396011396,6.333333333333333,10.242640075973409
N942AT,7.888489208633094,16.946942446043167,0.8612110311750599,7.380395683453237
N942DL,8.722702278083268,15.892380204241949,2.0463472113118617,6.73605655930872
N942DN,6.954489544895449,16.42189421894219,-1.8167281672816729,6.389913899138992
N942JB,11.041666666666666,20.77202380952381,2.6654761904761903,9.84047619047619
N942LL,8.135127931769723,17.98400852878465,6.3070362473347545,8.389658848614072
N942LR,14.828295819935692,17.134726688102894,12.821543408360128,7.984565916398714
N942NN,8.236,18.701777777777778,4.058222222222223,10.642666666666667
N942WN,8.755819260611593,12.150159744408946,1.5810132359653126,5.01665905979005
N943AN,12.212931453573164,18.399611084103064,7.343218279047156,9.90034030140982
N943AT,7.735928143712575,16.647904191616767,0.014970059880239521,7.267664670658682
N943DL,9.603491271820449,16.14713216957606,3.4208229426433916,6.763715710723192
N943DN,7.075957313245449,16.27746390458255,-1.2567482736974263,6.222849968612681
N943FR,15.33201460742544,16.347534996956785,9.70815581253804,10.274193548387096
N943JB,13.785632839224629,21.440136830102624,8.198403648802737,9.491448118586089
N943JT,10.98136645962733,20.214906832298137,0.7863354037267081,9.554037267080746
N943LR,11.187590605972746,17.119454914467962,9.064946361264134,7.717019425920557
N943NN,11.85623869801085,18.51627486437613,7.5723327305605785,10.282097649186257
N943SW,14.93554633471646,20.77372060857538,12.18921161825726,7.8567081604426
N943WN,8.363488372093023,12.03860465116279,1.4004651162790698,5.183953488372093
N944AN,12.110998479472883,18.78205778003041,8.517992904206793,10.130258489609732
N944AT,9.116716417910448,16.983880597014924,1.2438805970149254,7.284776119402985
N944DL,7.984732824427481,15.966284987277353,1.7684478371501273,6.648854961832061
N944DN,7.195427728613569,16.4358407079646,-0.661504424778761,6.157817109144543
N944JB,14.440825190010857,21.65798045602606,9.22041259500543,9.693811074918568
N944JT,12.26086956521739,20.268774703557312,2.171277997364954,9.923583662714098
N944LR,12.328032979976443,17.068610129564192,10.157243816254416,7.714075382803298
N944NN,9.915059499384489,18.677882642593353,5.57570783750513,10.124333196553138
N944SW,7.049335378323108,18.084867075664622,0.9616564417177914,5.997443762781186
N944UW,11.983214174696922,21.998445756916382,6.677028287224122,7.084550823748835
N944WN,11.216365824308063,12.16534296028881,4.269795427196149,5.1261131167268355
N945AN,13.304951411383618,19.02360018509949,9.405367885238316,10.072188801480795
N945AT,10.564885496183207,17.005089058524174,2.9411577608142494,7.049618320610687
N945DL,5.518202502844141,15.771331058020477,-0.4061433447098976,6.746302616609784
N945DN,5.671520093185789,16.444962143273152,-3.3354688410017475,6.291788002329644
N945JB,12.914194915254237,21.810381355932204,8.395127118644067,9.809322033898304
N945JT,9.939240506329114,20.41012658227848,1.1658227848101266,10.10253164556962
N945LR,14.750237416904083,17.50522317188984,12.79392212725546,7.8474200696422916
N945NN,11.913269731136166,18.60928013876843,7.47918473547268,10.230702515177796
N945SW,14.253525020735417,20.891346419684822,11.818910699474703,7.925352502073542
N945UW,10.286692467996428,21.79755879726109,5.14944924084549,7.100922893718368
N945WN,11.335717691940868,12.15999046256557,4.224368144969003,5.171912255603242
N946AN,11.790314997649272,18.44334743770569,7.359191349318289,9.973671838269864
N946AT,7.229973396393733,16.327815548329884,-0.4555128584096955,7.301803133313627
N946DL,5.7620481927710845,15.915060240963856,-0.17590361445783131,6.696385542168675
N946DN,9.961613216715257,16.219630709426628,1.5097181729834792,6.429543245869777
N946JB,13.64765100671141,21.44407158836689,7.643176733780761,9.756152125279643
N946JL,12.644736842105264,20.205263157894738,2.014473684210526,10.082894736842105
N946LR,12.58151700087184,17.124382446963093,10.853240337111306,7.643998837547224
N946NN,11.992198256080771,18.660853602569986,7.857732905002295,10.279027076640661
N946SW,15.604851752021563,20.690296495956872,12.84932614555256,8.236388140161726
N946UW,10.973349860551595,21.414936473504802,5.254415866129532,7.208552835450883
N946WN,9.337503006976185,12.180899687274477,2.671638200625451,5.124368535001203
N947AN,11.178826895565093,18.84549356223176,6.656175488793514,9.948497854077253
N947AT,8.959496778152808,16.824486038662165,1.101871739797484,7.1825713409021175
N947DL,6.894078705406399,16.006252298639204,1.1290915777859507,6.660536962118426
N947DN,8.725498007968127,16.305577689243027,0.649800796812749,6.426693227091634
N947FR,6.404705882352941,15.665882352941177,-1.0070588235294118,9.68
N947JB,12.617084826762246,20.84169653524492,4.835722819593787,9.655913978494624
N947LR,15.073143285821455,17.23218304576144,13.100150037509378,7.8394598649662415
N947NN,12.488879384088966,18.701454234388365,8.222412318220702,10.43584260051326
N947SW,13.288496972887602,19.96393787838905,10.29902605948934,7.704659120821269
