dest_airport_id,fl_month,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,isWeather,isSecurity
10361,9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10361,10,72.0,8.0,4.0,15.0,0.0,0.0,0.0,0.0
10361,11,10.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0
10361,12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10372,1,19.5,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0
10372,2,9.5,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0
10372,3,25.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
10372,4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10372,5,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10372,6,9.5,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0
10372,7,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10372,8,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10372,9,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10372,10,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10372,11,6.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
10372,12,17.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0
10397,1,8.0,0.0,0.0,0.0,0.0,0.0,0.02175438596491228,0.0
10397,2,8.0,0.0,0.0,0.0,0.0,0.0,0.01564828614008942,0.0007451564828614009
10397,3,5.0,0.0,0.0,0.0,0.0,0.0,0.010464355788096796,0.0013080444735120995
10397,4,8.0,0.0,0.0,0.0,0.0,0.0,0.011533242876526458,0.0006784260515603799
10397,5,7.0,0.0,0.0,0.0,0.0,0.0,0.01652892561983471,0.0
10397,6,12.0,0.0,0.0,0.0,0.0,0.0,0.027154046997389034,0.0
10397,7,10.0,0.0,0.0,0.0,0.0,0.0,0.01936912008854455,0.0005534034311012728
10397,8,9.0,0.0,0.0,0.0,0.0,0.0,0.026139817629179333,0.0012158054711246201
10397,9,6.0,0.0,0.0,0.0,0.0,0.0,0.01644479248238058,0.0
10397,10,8.0,0.0,0.0,0.0,0.0,0.0,0.00462160600808781,0.0
10397,11,9.0,0.0,0.0,0.0,0.0,0.0,0.00795593635250918,0.0
10397,12,7.0,0.0,0.0,0.0,0.0,0.0,0.00878293601003764,0.0
10408,1,22.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0
10408,2,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10408,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10408,4,14.5,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0
10408,5,43.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
10408,6,17.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0
10408,7,15.5,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0
10408,8,13.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0
10408,9,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10408,10,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10408,11,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10408,12,3.5,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
10409,4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10409,6,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
10409,7,109.5,0.0,5.0,0.0,104.5,0.0,1.0,0.0
10409,8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10409,9,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
10409,10,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
10409,11,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10409,12,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
10423,1,8.0,0.0,0.0,0.0,0.0,0.0,0.01593625498007968,0.0
10423,2,10.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0
10423,3,5.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0
10423,4,8.0,0.0,0.0,0.0,0.0,0.0,0.01107011070110701,0.0
10423,5,8.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0026666666666666666
10423,6,12.0,0.0,0.0,0.0,0.0,0.0,0.02072538860103627,0.0
10423,7,10.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0
10423,8,8.0,0.0,0.0,0.0,0.0,0.0,0.012269938650306749,0.0
10423,9,6.0,0.0,0.0,0.0,0.0,0.0,0.011320754716981131,0.0
10423,10,9.5,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0
10423,11,9.0,0.0,0.0,0.0,0.0,0.0,0.009554140127388535,0.0031847133757961785
10423,12,5.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0
10431,1,9.5,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
10431,2,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10431,3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564
10431,4,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10431,5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10431,6,21.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0
10431,7,11.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0
10431,8,15.0,0.0,0.0,0.0,0.0,0.0,0.061224489795918366,0.0
10431,9,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10431,10,21.5,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0
10431,11,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10431,12,17.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0
10434,1,4.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
10434,2,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10434,3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10434,4,29.0,5.5,1.5,0.0,0.0,0.0,0.0,0.0
10434,5,13.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0
10434,6,21.5,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
10434,7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10434,8,13.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0
10434,9,24.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0
10434,10,10.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0
10434,11,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10434,12,20.5,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0
10466,1,17.5,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421
10466,2,20.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.05263157894736842
10466,3,11.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0
10466,4,6.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0
10466,5,23.5,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
10466,6,24.5,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0
10466,7,11.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
10466,8,13.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0
10466,9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10466,10,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10466,11,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10466,12,12.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0
10469,1,27.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0
10469,2,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10469,3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10469,4,10.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
10469,5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10469,6,24.5,0.0,0.0,15.0,0.0,0.0,0.0,0.0
10469,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10469,8,10.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
10469,9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10469,10,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10469,11,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10469,12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10529,1,11.0,0.0,0.0,0.0,0.0,0.0,0.024193548387096774,0.0
10529,2,10.0,0.0,0.0,0.0,0.0,0.0,0.037383177570093455,0.0
