tail_num,dep_delay,arr_delay,isCraft,isCarrier
N14240,10.0,13.0,0.1883614088820827,0.6064318529862175
N14242,7.0,12.0,0.15224358974358973,0.6121794871794872
N14249,12.0,16.0,0.1872,0.584
N14250,8.5,13.0,0.18507462686567164,0.6059701492537314
N142AN,11.0,12.0,0.17253121452894438,0.6923950056753689
N142SY,6.0,12.0,0.14094650205761317,0.6388888888888888
N143AN,10.0,11.0,0.16846652267818574,0.6922246220302376
N143SY,6.0,12.0,0.14693446088794926,0.6522198731501057
N144AN,10.0,11.0,0.17659574468085107,0.6797872340425531
N144SY,5.0,12.0,0.1254980079681275,0.6603585657370518
N14542,11.0,21.0,0.17385943279901356,0.5388409371146733
N14543,7.0,15.0,0.13138686131386862,0.5985401459854015
N14558,14.0,21.0,0.1838150289017341,0.5121387283236994
N14562,14.0,21.0,0.1905286343612335,0.5242290748898678
N14568,13.0,20.0,0.18356867779204109,0.5494223363286265
N14570,11.0,18.0,0.18276762402088773,0.566579634464752
N14573,15.0,20.0,0.1901595744680851,0.5438829787234043
N145AN,10.0,10.0,0.14301929625425652,0.7230419977298524
N145SY,7.0,13.0,0.15292841648590022,0.6399132321041214
N146AA,11.0,11.0,0.13777777777777778,0.7188888888888889
N146PQ,13.0,14.0,0.2120451693851945,0.6273525721455459
N146SY,6.0,12.0,0.16609783845278725,0.6416382252559727
N14704,10.0,16.0,0.18394648829431437,0.5535117056856187
N14731,7.0,12.0,0.17647058823529413,0.6258169934640523
N14735,10.0,17.0,0.17834394904458598,0.5318471337579618
N147AA,10.0,12.0,0.15795454545454546,0.6863636363636364
N147PQ,17.0,15.0,0.19700460829493088,0.6175115207373272
N14834,5.0,8.0,0.11009174311926606,0.8532110091743119
N148AN,9.0,10.0,0.1590909090909091,0.6904761904761905
N148SY,4.0,13.0,0.15706214689265538,0.6192090395480226
N14902,11.0,20.0,0.17647058823529413,0.5376470588235294
N14904,13.0,20.0,0.17964824120603015,0.5376884422110553
N14905,14.0,21.0,0.17743979721166034,0.5424588086185045
N14907,16.5,21.0,0.19166666666666668,0.5369047619047619
N14916,14.0,22.0,0.1953727506426735,0.5218508997429306
N14977,11.0,21.0,0.17435897435897435,0.5192307692307693
N14991,13.0,21.0,0.2031063321385902,0.5244922341696535
N14993,10.0,16.0,0.17437252311756934,0.5535006605019815
N149AN,10.0,12.0,0.17752808988764046,0.6685393258426966
N149SY,8.0,15.0,0.1772972972972973,0.6151351351351352
N150NN,9.0,10.0,0.17203107658157601,0.6870144284128746
N150SY,6.0,13.0,0.17008196721311475,0.6454918032786885
N150UW,9.0,11.0,0.1506228765571914,0.7089467723669309
N151AN,10.0,11.0,0.13958333333333334,0.703125
N151GJ,12.0,19.0,0.21780104712041884,0.5958115183246073
N151SY,6.0,12.0,0.15280665280665282,0.6424116424116424
N151UW,8.0,9.0,0.1408898305084746,0.7171610169491526
