dest_airport_id,fl_month,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay
11905,5,-5.0,0.0,0.0,0.0,0.0,0.0
11905,6,-4.0,0.0,0.0,0.0,0.0,0.0
11905,7,-2.5,0.0,0.0,0.0,0.0,0.0
11905,8,-4.0,0.0,0.0,0.0,0.0,0.0
11905,9,-5.0,0.0,0.0,0.0,0.0,0.0
11905,10,-6.0,0.0,0.0,0.0,0.0,0.0
11905,11,-6.0,0.0,0.0,0.0,0.0,0.0
11905,12,-7.0,0.0,0.0,0.0,0.0,0.0
11921,1,-7.0,0.0,0.0,0.0,0.0,0.0
11921,2,-5.0,0.0,0.0,0.0,0.0,0.0
11921,3,-6.0,0.0,0.0,0.0,0.0,0.0
11921,4,-9.0,0.0,0.0,0.0,0.0,0.0
11921,5,-8.0,0.0,0.0,0.0,0.0,0.0
11921,6,-5.0,0.0,0.0,0.0,0.0,0.0
11921,7,-5.0,0.0,0.0,0.0,0.0,0.0
11921,8,-6.0,0.0,0.0,0.0,0.0,0.0
11921,9,-9.0,0.0,0.0,0.0,0.0,0.0
11921,10,-7.0,0.0,0.0,0.0,0.0,0.0
11921,11,-8.0,0.0,0.0,0.0,0.0,0.0
11921,12,-7.0,0.0,0.0,0.0,0.0,0.0
11953,1,-4.0,0.0,0.0,0.0,0.0,0.0
11953,2,-3.0,0.0,0.0,0.0,0.0,0.0
11953,3,-5.0,0.0,0.0,0.0,0.0,0.0
11953,4,-5.0,0.0,0.0,0.0,0.0,0.0
11953,5,-5.0,0.0,0.0,0.0,0.0,0.0
11953,6,-2.0,0.0,0.0,0.0,0.0,0.0
11953,7,-2.0,0.0,0.0,0.0,0.0,0.0
11953,8,-4.0,0.0,0.0,0.0,0.0,0.0
11953,9,-7.0,0.0,0.0,0.0,0.0,0.0
11953,10,-4.0,0.0,0.0,0.0,0.0,0.0
11953,11,-6.0,0.0,0.0,0.0,0.0,0.0
11953,12,-5.0,0.0,0.0,0.0,0.0,0.0
11973,1,-7.0,0.0,0.0,0.0,0.0,0.0
11973,2,-3.0,0.0,0.0,0.0,0.0,0.0
11973,3,-5.0,0.0,0.0,0.0,0.0,0.0
11973,4,-7.0,0.0,0.0,0.0,0.0,0.0
11973,5,-7.0,0.0,0.0,0.0,0.0,0.0
11973,6,-2.0,0.0,0.0,0.0,0.0,0.0
11973,7,-3.0,0.0,0.0,0.0,0.0,0.0
11973,8,-4.0,0.0,0.0,0.0,0.0,0.0
11973,9,-6.0,0.0,0.0,0.0,0.0,0.0
11973,10,-6.0,0.0,0.0,0.0,0.0,0.0
11973,11,-6.0,0.0,0.0,0.0,0.0,0.0
11973,12,-6.0,0.0,0.0,0.0,0.0,0.0
11977,1,-5.0,0.0,0.0,0.0,0.0,0.0
11977,2,-6.0,0.0,0.0,0.0,0.0,0.0
11977,3,-9.0,0.0,0.0,0.0,0.0,0.0
11977,4,-7.0,0.0,0.0,0.0,0.0,0.0
11977,5,-5.0,0.0,0.0,0.0,0.0,0.0
11977,6,-4.0,0.0,0.0,0.0,0.0,0.0
11977,7,-6.0,0.0,0.0,0.0,0.0,0.0
11977,8,-6.0,0.0,0.0,0.0,0.0,0.0
11977,9,-8.0,0.0,0.0,0.0,0.0,0.0
11977,10,-8.0,0.0,0.0,0.0,0.0,0.0
11977,11,-8.0,0.0,0.0,0.0,0.0,0.0
11977,12,-10.0,0.0,0.0,0.0,0.0,0.0
11980,1,-4.0,0.0,0.0,0.0,0.0,0.0
11980,2,-6.0,0.0,0.0,0.0,0.0,0.0
11980,3,-6.0,0.0,0.0,0.0,0.0,0.0
11980,4,-8.0,0.0,0.0,0.0,0.0,0.0
11980,5,-2.0,0.0,0.0,0.0,0.0,0.0
11980,6,-3.0,0.0,0.0,0.0,0.0,0.0
11980,7,-6.0,0.0,0.0,0.0,0.0,0.0
11980,8,-2.0,0.0,0.0,0.0,0.0,0.0
11980,9,-8.0,0.0,0.0,0.0,0.0,0.0
11980,10,-8.0,0.0,0.0,0.0,0.0,0.0
11980,11,-8.0,0.0,0.0,0.0,0.0,0.0
11980,12,-8.0,0.0,0.0,0.0,0.0,0.0
11982,1,-6.0,0.0,0.0,0.0,0.0,0.0
11982,2,-1.0,0.0,0.0,0.0,0.0,0.0
11982,3,-4.0,0.0,0.0,0.0,0.0,0.0
11982,4,-6.0,0.0,0.0,0.0,0.0,0.0
11982,5,-5.0,0.0,0.0,0.0,0.0,0.0
11982,6,-1.0,0.0,0.0,0.0,0.0,0.0
11982,7,-3.0,0.0,0.0,0.0,0.0,0.0
11982,8,-4.0,0.0,0.0,0.0,0.0,0.0
11982,9,-6.0,0.0,0.0,0.0,0.0,0.0
11982,10,-2.0,0.0,0.0,0.0,0.0,0.0
11982,11,-4.0,0.0,0.0,0.0,0.0,0.0
11982,12,-4.0,0.0,0.0,0.0,0.0,0.0
11986,1,-5.0,0.0,0.0,0.0,0.0,0.0
11986,2,-5.0,0.0,0.0,0.0,0.0,0.0
11986,3,-6.0,0.0,0.0,0.0,0.0,0.0
11986,4,-6.0,0.0,0.0,0.0,0.0,0.0
11986,5,-5.0,0.0,0.0,0.0,0.0,0.0
11986,6,-2.0,0.0,0.0,0.0,0.0,0.0
11986,7,-5.0,0.0,0.0,0.0,0.0,0.0
11986,8,-4.0,0.0,0.0,0.0,0.0,0.0
11986,9,-6.0,0.0,0.0,0.0,0.0,0.0
11986,10,-5.0,0.0,0.0,0.0,0.0,0.0
11986,11,-5.0,0.0,0.0,0.0,0.0,0.0
11986,12,-7.0,0.0,0.0,0.0,0.0,0.0
11995,1,-5.0,0.0,0.0,0.0,0.0,0.0
11995,2,-6.0,0.0,0.0,0.0,0.0,0.0
11995,3,-7.0,0.0,0.0,0.0,0.0,0.0
11995,4,-5.0,0.0,0.0,0.0,0.0,0.0
11995,5,-3.0,0.0,0.0,0.0,0.0,0.0
11995,6,-1.0,0.0,0.0,0.0,0.0,0.0
11995,7,-2.0,0.0,0.0,0.0,0.0,0.0
11995,8,-2.0,0.0,0.0,0.0,0.0,0.0
11995,9,-7.0,0.0,0.0,0.0,0.0,0.0
11995,10,-7.0,0.0,0.0,0.0,0.0,0.0
11995,11,-6.0,0.0,0.0,0.0,0.0,0.0
11995,12,-6.0,0.0,0.0,0.0,0.0,0.0
11996,1,-6.0,0.0,0.0,0.0,0.0,0.0
11996,2,-6.0,0.0,0.0,0.0,0.0,0.0
11996,3,-7.0,0.0,0.0,0.0,0.0,0.0
11996,4,-6.0,0.0,0.0,0.0,0.0,0.0
11996,5,-6.0,0.0,0.0,0.0,0.0,0.0
11996,6,-3.0,0.0,0.0,0.0,0.0,0.0
11996,7,-4.0,0.0,0.0,0.0,0.0,0.0
11996,8,-6.0,0.0,0.0,0.0,0.0,0.0
11996,9,-8.0,0.0,0.0,0.0,0.0,0.0
11996,10,-6.0,0.0,0.0,0.0,0.0,0.0
11996,11,-6.0,0.0,0.0,0.0,0.0,0.0
11996,12,-5.0,0.0,0.0,0.0,0.0,0.0
11997,6,-11.0,0.0,0.0,0.0,0.0,0.0
11997,7,-13.0,0.0,0.0,0.0,0.0,0.0
11997,8,-8.5,0.0,0.0,0.0,0.0,0.0
12003,1,-8.0,0.0,0.0,0.0,0.0,0.0
12003,2,-5.0,0.0,0.0,0.0,0.0,0.0
12003,3,-9.0,0.0,0.0,0.0,0.0,0.0
12003,4,-8.0,0.0,0.0,0.0,0.0,0.0
12003,5,-8.0,0.0,0.0,0.0,0.0,0.0
12003,6,-4.0,0.0,0.0,0.0,0.0,0.0
12003,7,-5.0,0.0,0.0,0.0,0.0,0.0
12003,8,-7.0,0.0,0.0,0.0,0.0,0.0
12003,9,-10.0,0.0,0.0,0.0,0.0,0.0
12003,10,-7.0,0.0,0.0,0.0,0.0,0.0
12003,11,-9.0,0.0,0.0,0.0,0.0,0.0
12003,12,-10.0,0.0,0.0,0.0,0.0,0.0
12007,1,-8.0,0.0,0.0,0.0,0.0,0.0
12007,2,-6.5,0.0,0.0,0.0,0.0,0.0
12007,3,-3.0,0.0,0.0,0.0,0.0,0.0
12007,4,-5.0,0.0,0.0,0.0,0.0,0.0
12007,5,-7.0,0.0,0.0,0.0,0.0,0.0
